OBJECTID,Sample_Date,Site_ID,Vol_Moist_m3,Vol_Moist_2,Gravimet_soil_moist_g_g
280,2012/07/13,53-15,0.1,0.11,0.1
281,2012/07/14,53-16,0.09,0.09,0.07
282,2012/06/07,54-1,0.21,0.2,0.16
283,2012/06/12,54-3,0.21,0.24,0.19
284,2012/06/15,54-4,0.15,0.15,0.12
285,2012/06/17,54-5,0.26,0.23,0.19
286,2012/06/22,54-6,0.18,0.18,0.14
287,2012/06/23,54-7,0.13,0.13,0.1
288,2012/06/25,54-8,0.17,0.16,0.13
289,2012/06/27,54-9,0.13,0.12,0.1
290,2012/06/29,54-10,0.07,0.07,0.06
291,2012/07/03,54-11,0.12,0.12,0.1
292,2012/07/05,54-12,0.16,0.16,0.12
293,2012/07/10,54-14,0.09,0.1,0.08
294,2012/07/13,54-15,0.05,0.06,0.04
295,2012/07/14,54-16,0.05,0.06,0.05
296,2012/06/07,55-1,0.19,0.16,0.2
297,2012/06/12,55-3,0.36,0.39,0.46
298,2012/06/15,55-4,0.34,0.34,0.41
299,2012/06/17,55-5,0.46,0.4,0.48
300,2012/06/22,55-6,0.41,0.41,0.49
301,2012/06/23,55-7,0.33,0.35,0.42
302,2012/06/25,55-8,0.34,0.38,0.46
303,2012/06/27,55-9,0.3,0.31,0.37
304,2012/07/05,55-12,0.36,0.28,0.34
305,2012/07/08,55-13,0.26,0.3,0.36
306,2012/07/10,55-14,0.21,0.22,0.27
307,2012/07/13,55-15,0.18,0.18,0.21
308,2012/07/14,55-16,0.17,0.19,0.23
309,2012/06/07,61-1,0.04,0.04,0.03
310,2012/07/17,61-2,0.17,0.16,0.13
311,2012/06/12,61-3,0.25,0.22,0.19
312,2012/07/19,61-3,0.11,0.11,0.09
313,2012/06/15,61-4,0.13,0.12,0.1
314,2012/06/17,61-5,0.19,0.2,0.17
315,2012/06/22,61-6,0.18,0.17,0.14
316,2012/06/23,61-7,0.15,0.17,0.14
317,2012/06/25,61-8,0.11,0.1,0.08
318,2012/06/29,61-10,0.33,0.38,0.32
319,2012/07/03,61-11,0.04,0.04,0.04
320,2012/07/05,61-12,0.18,0.18,0.15
321,2012/07/08,61-13,0.17,0.16,0.13
322,2012/07/10,61-14,0.08,0.09,0.07
323,2012/07/13,61-15,0.1,0.11,0.09
324,2012/07/14,61-16,0.08,0.08,0.07
325,2012/06/07,62-1,0.09,0.08,0.07
326,2012/06/09,62-2,0.12,0.12,0.1
327,2012/07/17,62-2,0.13,0.14,0.12
328,2012/06/12,62-3,0.19,0.21,0.18
329,2012/07/19,62-3,0.11,0.1,0.09
330,2012/06/17,62-5,0.28,0.25,0.21
331,2012/06/22,62-6,0.14,0.15,0.13
332,2012/06/23,62-7,0.14,0.14,0.12
333,2012/06/25,62-8,0.14,0.13,0.11
334,2012/06/29,62-10,0.05,0.06,0.05
335,2012/07/03,62-11,0.03,0.03,0.03
336,2012/07/05,62-12,0.22,0.21,0.18
337,2012/07/10,62-14,0.05,0.05,0.04
338,2012/07/13,62-15,0.12,0.12,0.1
339,2012/07/14,62-16,0.08,0.08,0.06
340,2012/06/07,63-1,0.14,0.14,0.12
341,2012/06/09,63-2,0.12,0.14,0.12
342,2012/07/17,63-2,0.15,0.15,0.13
343,2012/06/12,63-3,0.2,0.17,0.15
344,2012/06/15,63-4,0.12,0.13,0.11
345,2012/06/17,63-5,0.23,0.21,0.19
346,2012/06/22,63-6,0.11,0.14,0.12
347,2012/06/23,63-7,0.24,0.23,0.2
348,2012/06/25,63-8,0.13,0.12,0.11
349,2012/06/27,63-9,0.09,0.1,0.09
350,2012/06/29,63-10,0.05,0.05,0.05
351,2012/07/03,63-11,0.06,0.06,0.05
352,2012/07/05,63-12,0.2,0.17,0.15
353,2012/07/08,63-13,0.06,0.06,0.05
354,2012/07/10,63-14,0.06,0.06,0.05
355,2012/07/13,63-15,0.09,0.1,0.09
356,2012/07/14,63-16,0.07,0.07,0.07
357,2012/06/07,64-1,0.11,0.11,0.1
358,2012/07/17,64-2,0.28,0.25,0.22
359,2012/06/12,64-3,0.3,0.38,0.33
360,2012/06/15,64-4,0.29,0.29,0.25
361,2012/06/17,64-5,0.3,0.38,0.33
362,2012/06/22,64-6,0.22,0.24,0.21
363,2012/06/23,64-7,0.24,0.27,0.23
364,2012/06/25,64-8,0.13,0.14,0.12
365,2012/06/27,64-9,0.15,0.15,0.13
366,2012/06/29,64-10,0.18,0.16,0.14
367,2012/07/03,64-11,0.13,0.11,0.1
368,2012/07/05,64-12,0.19,0.2,0.17
369,2012/07/08,64-13,0.18,0.18,0.16
370,2012/07/10,64-14,0.12,0.12,0.1
371,2012/07/13,64-15,0.11,0.09,0.08
372,2012/07/14,64-16,0.16,0.14,0.12
373,2012/06/07,65-1,0.12,0.12,0.1
